order_id,customer_id,order_date,order_amount,order_status,product_category
O000043,C00006,2024-06-13,14.88,returned,Books
O000044,C00006,2024-06-09,25.95,completed,Electronics
O000045,C00006,2024-08-24,11.13,completed,Books
O000046,C00006,2024-08-16,43.86,completed,Books
O000047,C00006,2024-07-02,35.8,delivered,Clothing
O000048,C00006,2024-05-31,37.99,completed,Clothing
O000049,C00007,2024-10-06,60.5,returned,Beauty
O000050,C00007,2024-09-06,43.21,delivered,Clothing
O000051,C00007,2024-07-26,105.14,completed,Electronics
O000052,C00007,2024-06-13,63.63,completed,Books
O000053,C00007,2024-05-21,127.56,delivered,Electronics
O000054,C00008,2024-12-14,59.34,completed,Electronics
O000055,C00008,2024-11-29,90.36,completed,Sports
O000056,C00008,2024-10-26,83.73,delivered,Beauty
O000057,C00009,2024-10-22,95.76,completed,Sports
O000058,C00009,2024-10-12,155.79,returned,Home
O000059,C00009,2024-10-03,137.37,completed,Electronics
O000060,C00009,2024-09-03,89.7,completed,Home
O000061,C00009,2024-06-27,68.38,completed,Beauty
O000062,C00009,2024-08-09,124.72,completed,Clothing
O000063,C00009,2024-05-02,132.62,returned,Books
O000064,C00010,2024-10-15,123.45,completed,Clothing
O000065,C00010,2024-09-20,176.3,delivered,Electronics
O000066,C00010,2024-08-16,192.78,completed,Clothing
O000067,C00010,2024-08-27,172.28,delivered,Sports
O000068,C00010,2024-06-19,124.25,returned,Beauty
O000069,C00011,2024-10-20,75.09,delivered,Electronics
O000070,C00011,2024-09-05,164.16,completed,Electronics
O000071,C00011,2024-09-10,83.73,completed,Clothing
O000072,C00011,2024-08-08,134.85,completed,Sports
O000073,C00011,2024-07-22,66.98,completed,Home
O000074,C00011,2024-06-14,131.31,completed,Books
O000075,C00011,2024-05-16,131.95,completed,Electronics
O000076,C00012,2024-07-04,99.95,completed,Home
O000077,C00012,2024-06-29,88.98,completed,Beauty
O000078,C00013,2024-11-11,51.33,returned,Sports
O000079,C00014,2023-09-25,68.82,completed,Clothing
O000080,C00014,2023-08-29,31.14,completed,Clothing
O000081,C00014,2023-09-20,65.61,delivered,Home
O000082,C00015,2024-10-18,98.55,returned,Home
O000083,C00015,2024-09-25,135.91,delivered,Books
O000084,C00015,2024-09-21,70.34,completed,Electronics
O000085,C00015,2024-08-19,180.06,completed,Books
O000086,C00015,2024-05-26,69.9,completed,Books
O000087,C00015,2024-06-13,174.27,returned,Beauty
O000088,C00015,2024-04-21,71.33,returned,Home
O000089,C00015,2024-03-07,112.13,completed,Electronics
O000090,C00016,2024-11-01,117.03,completed,Books
O000091,C00016,2024-10-11,109.11,completed,Home
O000092,C00016,2024-10-24,162.96,returned,Electronics
O000093,C00016,2024-08-17,132.53,returned,Home
O000094,C00016,2024-06-18,58.23,delivered,Beauty
O000095,C00016,2024-07-31,175.86,completed,Beauty
O000096,C00016,2024-07-08,91.97,completed,Home
O000097,C00016,2024-04-17,125.13,delivered,Beauty
O000098,C00017,2024-10-20,152.38,completed,Electronics
O000099,C00017,2024-11-01,143.93,completed,Electronics
O000100,C00017,2024-10-13,189.41,completed,Beauty
O000101,C00017,2024-08-21,50.1,completed,Clothing
O000102,C00017,2024-07-12,186.41,returned,Home
O000103,C00017,2024-08-19,181.16,completed,Electronics
O000104,C00017,2024-06-18,87.56,completed,Books
O000105,C00017,2024-03-26,74.83,completed,Books
O000106,C00017,2024-06-12,158.9,completed,Beauty
O000107,C00017,2024-03-05,63.68,completed,Electronics
O000108,C00018,2024-10-28,69.9,completed,Sports
O000109,C00018,2024-09-07,116.76,completed,Books
O000110,C00018,2024-08-28,172.57,completed,Books
O000111,C00018,2024-09-14,121.66,completed,Beauty
O000112,C00018,2024-09-09,159.61,completed,Electronics
O000113,C00019,2024-10-16,72.92,completed,Clothing
O000114,C00019,2024-09-23,149.22,completed,Electronics
O000115,C00019,2024-08-18,101.96,delivered,Books
O000116,C00019,2024-09-23,88.41,returned,Clothing
O000117,C00020,2024-11-12,111.76,returned,Beauty
O000118,C00020,2024-11-18,63.0,completed,Clothing
O000119,C00020,2024-11-06,138.44,completed,Home
O000120,C00020,2024-09-18,97.18,completed,Clothing
O000121,C00020,2024-09-27,146.69,completed,Sports
O000122,C00020,2024-08-11,166.85,returned,Electronics
O000123,C00020,2024-07-27,80.82,delivered,Sports
O000124,C00020,2024-08-15,162.18,completed,Books
O000125,C00020,2024-09-09,167.57,completed,Beauty
O000126,C00021,2024-12-09,124.94,delivered,Electronics
O000127,C00021,2024-11-03,183.31,completed,Home
O000128,C00021,2024-10-17,69.8,delivered,Beauty
O000129,C00021,2024-10-01,131.95,completed,Beauty
O000130,C00021,2024-07-31,60.95,delivered,Electronics
O000131,C00021,2024-10-24,89.33,completed,Electronics
O000132,C00021,2024-07-08,125.99,returned,Books
O000133,C00022,2024-10-25,155.27,completed,Books
O000134,C00022,2024-09-24,130.65,completed,Home
O000135,C00022,2024-10-08,96.49,delivered,Clothing
O000136,C00022,2024-09-19,130.46,completed,Sports
O000137,C00022,2024-07-09,164.48,returned,Books
O000138,C00022,2024-09-02,96.53,completed,Books
O000139,C00022,2024-07-09,58.69,completed,Beauty
O000140,C00022,2024-07-31,118.01,delivered,Electronics
O000141,C00023,2024-12-16,82.79,completed,Books
O000142,C00023,2024-12-09,116.04,completed,Sports
O000143,C00023,2024-09-24,252.26,returned,Home
O000144,C00023,2024-10-29,161.81,returned,Home
O000145,C00023,2024-08-08,275.01,completed,Home
O000146,C00023,2024-07-13,139.84,completed,Home
O000147,C00023,2024-05-26,218.06,completed,Beauty
O000148,C00023,2024-06-02,159.23,completed,Sports
O000149,C00023,2024-08-19,160.89,completed,Electronics
O000150,C00023,2024-04-27,228.31,completed,Clothing
O000151,C00024,2024-04-14,55.72,completed,Clothing
O000152,C00024,2024-04-02,111.33,completed,Clothing
O000153,C00024,2024-03-03,171.05,completed,Sports
O000154,C00024,2023-12-23,104.52,completed,Clothing
O000155,C00024,2024-01-12,169.06,completed,Home
O000156,C00024,2024-02-05,124.3,completed,Sports
O000157,C00024,2024-02-01,73.31,delivered,Electronics
O000158,C00024,2023-10-25,58.96,completed,Home
O000159,C00025,2024-11-17,100.84,completed,Home
O000160,C00025,2024-10-28,72.08,completed,Books
O000161,C00025,2024-09-29,91.03,delivered,Beauty
O000162,C00025,2024-09-25,120.57,delivered,Clothing
O000163,C00026,2024-12-01,170.21,completed,Sports
O000164,C00026,2024-11-28,219.91,returned,Electronics
O000165,C00026,2024-10-29,80.32,returned,Beauty
O000166,C00026,2024-10-22,102.87,delivered,Clothing
O000167,C00026,2024-09-28,188.25,completed,Clothing
O000168,C00026,2024-08-31,100.47,completed,Sports
O000169,C00026,2024-07-18,234.19,completed,Beauty
O000170,C00026,2024-09-30,207.77,delivered,Clothing
O000171,C00027,2024-11-08,138.78,completed,Beauty
O000172,C00027,2024-09-19,194.63,completed,Home
O000173,C00027,2024-09-18,177.64,completed,Books
O000174,C00027,2024-08-31,97.71,completed,Clothing
O000175,C00027,2024-09-22,191.53,completed,Sports
O000176,C00027,2024-08-25,73.31,completed,Beauty
O000177,C00027,2024-05-15,97.1,completed,Sports
O000178,C00027,2024-06-02,194.7,completed,Beauty
O000179,C00027,2024-06-05,119.5,completed,Electronics
O000180,C00028,2024-11-15,235.04,delivered,Electronics
O000181,C00028,2024-11-18,263.9,completed,Clothing
O000182,C00028,2024-11-10,236.45,completed,Beauty
O000183,C00028,2024-09-07,90.77,completed,Home
O000184,C00028,2024-07-20,297.95,completed,Beauty
O000185,C00028,2024-06-29,202.31,delivered,Clothing
O000186,C00028,2024-09-18,181.65,completed,Electronics
O000187,C00028,2024-09-29,93.57,completed,Clothing
O000188,C00029,2024-11-22,63.5,returned,Books
O000189,C00030,2024-11-05,136.94,completed,Electronics
O000190,C00030,2024-11-09,123.51,returned,Beauty
O000191,C00030,2024-10-18,100.24,completed,Electronics
O000192,C00030,2024-10-19,287.3,completed,Clothing
O000193,C00030,2024-08-02,175.29,returned,Beauty
O000194,C00030,2024-05-30,86.49,returned,Beauty
O000195,C00030,2024-08-11,157.87,completed,Home
O000196,C00031,2024-04-18,69.32,delivered,Sports
O000197,C00031,2024-03-28,81.95,completed,Beauty
O000198,C00031,2024-03-05,164.76,completed,Electronics
O000199,C00031,2024-04-05,86.37,completed,Beauty
O000200,C00031,2024-03-12,133.54,delivered,Clothing
O000201,C00032,2024-11-01,84.3,completed,Books
O000202,C00032,2024-10-25,185.53,completed,Home
O000203,C00032,2024-09-03,150.75,completed,Clothing
O000204,C00032,2024-10-24,150.15,completed,Electronics
O000205,C00032,2024-07-06,251.28,completed,Beauty
O000206,C00032,2024-07-08,248.71,completed,Clothing
O000207,C00032,2024-09-02,134.53,completed,Home
O000208,C00032,2024-05-04,259.58,returned,Electronics
O000209,C00032,2024-07-13,206.65,completed,Home
O000210,C00032,2024-07-15,118.74,delivered,Home
O000211,C00032,2024-01-25,242.38,completed,Sports
O000212,C00032,2024-08-01,234.76,completed,Sports
O000213,C00032,2024-05-18,203.88,completed,Beauty
O000214,C00032,2023-10-16,147.99,completed,Electronics
O000215,C00032,2024-05-24,92.36,delivered,Clothing
O000216,C00032,2024-06-19,195.82,completed,Home
O000217,C00033,2024-11-10,69.57,returned,Clothing
O000218,C00033,2024-11-05,58.93,completed,Sports
O000219,C00033,2024-10-28,166.15,delivered,Home
O000220,C00033,2024-10-27,106.04,returned,Beauty
O000221,C00033,2024-08-12,65.15,completed,Home
O000222,C00033,2024-09-12,196.38,returned,Beauty
O000223,C00033,2024-06-04,147.38,completed,Books
O000224,C00033,2024-05-06,154.03,delivered,Home
O000225,C00034,2024-01-07,85.16,completed,Home
O000226,C00034,2023-11-30,75.08,completed,Clothing
O000227,C00035,2024-11-30,141.26,delivered,Beauty
O000228,C00035,2024-11-01,175.47,completed,Clothing
O000229,C00035,2024-10-31,169.73,delivered,Clothing
O000230,C00035,2024-09-10,123.52,completed,Clothing
O000231,C00035,2024-10-09,146.89,completed,Home
O000232,C00035,2024-08-21,71.83,completed,Books
O000233,C00035,2024-08-07,108.06,completed,Clothing
O000234,C00035,2024-08-19,140.11,completed,Home
O000235,C00036,2024-12-01,80.28,completed,Beauty
O000236,C00036,2024-10-29,172.32,completed,Beauty
O000237,C00036,2024-10-02,273.99,completed,Sports
O000238,C00036,2024-10-07,102.31,completed,Sports
O000239,C00036,2024-08-23,246.81,completed,Clothing
O000240,C00036,2024-07-12,96.22,completed,Home
O000241,C00036,2024-10-20,150.12,completed,Electronics
O000242,C00036,2024-07-20,117.42,completed,Clothing
O000243,C00036,2024-04-01,96.5,completed,Home
O000244,C00036,2024-04-26,296.76,completed,Books
O000245,C00036,2024-09-08,174.89,returned,Clothing
O000246,C00036,2024-04-03,275.75,completed,Electronics
O000247,C00036,2024-07-06,152.84,completed,Beauty
O000248,C00036,2023-11-07,238.85,returned,Sports
O000249,C00036,2024-03-24,225.33,completed,Clothing
O000250,C00036,2024-06-08,90.92,delivered,Sports
O000251,C00036,2023-11-09,113.79,completed,Electronics
O000252,C00036,2023-12-02,99.28,returned,Books
O000253,C00037,2024-11-24,14.85,completed,Clothing
O000254,C00037,2024-10-11,24.59,completed,Beauty
O000255,C00037,2024-10-27,25.42,completed,Beauty
O000256,C00037,2024-08-30,54.74,completed,Electronics
O000257,C00037,2024-07-31,37.21,completed,Home
O000258,C00037,2024-07-06,28.47,completed,Electronics
O000259,C00037,2024-07-26,31.99,completed,Clothing
O000260,C00037,2024-07-15,38.21,completed,Books
O000261,C00037,2024-03-25,14.84,returned,Home
O000262,C00037,2024-02-08,37.07,delivered,Clothing
O000263,C00037,2024-04-03,13.05,completed,Sports
O000264,C00037,2024-04-27,58.28,returned,Beauty
O000265,C00037,2024-04-04,33.81,completed,Beauty
O000266,C00037,2024-07-06,35.11,delivered,Sports
O000267,C00038,2024-12-09,144.42,completed,Clothing
O000268,C00038,2024-11-22,146.94,completed,Clothing
O000269,C00038,2024-11-17,86.57,returned,Beauty
O000270,C00038,2024-10-18,149.7,returned,Clothing
O000271,C00038,2024-07-19,105.46,completed,Books
O000272,C00038,2024-10-06,49.57,delivered,Beauty
O000273,C00039,2024-11-13,23.81,completed,Electronics
O000274,C00039,2024-10-11,45.02,delivered,Sports
O000275,C00039,2024-09-28,15.63,completed,Clothing
O000276,C00039,2024-08-30,39.4,completed,Electronics
O000277,C00039,2024-08-20,48.98,completed,Sports
O000278,C00039,2024-07-25,53.89,completed,Beauty
O000279,C00039,2024-06-09,38.6,completed,Electronics
O000280,C00039,2024-08-18,23.77,completed,Sports
O000281,C00039,2024-04-19,44.04,completed,Electronics
O000282,C00039,2024-06-02,54.48,completed,Books
O000283,C00039,2024-07-03,12.46,completed,Home
O000284,C00039,2024-01-06,28.62,completed,Home
O000285,C00039,2024-03-06,24.02,completed,Books
O000286,C00040,2024-11-30,50.52,completed,Books
O000287,C00040,2024-11-19,99.66,completed,Home
O000288,C00040,2024-10-15,84.45,completed,Clothing
O000289,C00041,2024-08-15,157.12,returned,Beauty
O000290,C00041,2024-07-17,117.15,completed,Electronics
O000291,C00041,2024-06-20,152.89,completed,Home
O000292,C00041,2024-05-16,115.88,completed,Sports
O000293,C00041,2024-05-24,53.76,completed,Clothing
O000294,C00041,2024-07-11,82.43,completed,Electronics
O000295,C00042,2023-12-30,41.92,completed,Sports
O000296,C00042,2023-12-01,70.83,completed,Books
O000297,C00042,2023-12-13,39.36,completed,Sports
O000298,C00043,2024-11-08,180.57,delivered,Sports
O000299,C00043,2024-11-06,101.64,completed,Books
O000300,C00043,2024-11-07,92.76,completed,Electronics
O000301,C00043,2024-10-19,178.07,completed,Clothing
O000302,C00043,2024-08-08,83.77,completed,Home
O000303,C00043,2024-07-07,126.99,returned,Electronics
O000304,C00043,2024-06-10,186.73,returned,Clothing
O000305,C00044,2024-12-05,50.14,delivered,Home
O000306,C00044,2024-10-11,117.03,returned,Home
O000307,C00044,2024-09-22,110.59,completed,Beauty
O000308,C00045,2024-11-19,73.24,delivered,Sports
O000309,C00045,2024-10-29,104.29,completed,Sports
O000310,C00045,2024-09-27,101.76,delivered,Sports
O000311,C00045,2024-09-28,72.83,completed,Beauty
O000312,C00046,2024-12-01,220.93,completed,Home
O000313,C00046,2024-10-19,236.44,returned,Home
O000314,C00046,2024-10-26,112.98,completed,Electronics
O000315,C00046,2024-08-25,168.9,completed,Books
O000316,C00046,2024-10-13,238.68,returned,Beauty
O000317,C00046,2024-08-06,137.07,completed,Beauty
O000318,C00046,2024-07-03,242.08,delivered,Books
O000319,C00047,2024-12-08,239.84,completed,Books
O000320,C00047,2024-11-04,220.43,completed,Books
O000321,C00047,2024-10-14,191.61,completed,Books
O000322,C00047,2024-09-08,119.85,completed,Beauty
O000323,C00047,2024-10-23,243.0,returned,Sports
O000324,C00047,2024-09-13,288.32,completed,Books
O000325,C00047,2024-09-27,128.9,completed,Books
O000326,C00047,2024-07-23,172.5,completed,Home
O000327,C00047,2024-07-25,208.83,completed,Electronics
O000328,C00047,2024-05-22,91.81,returned,Sports
O000329,C00047,2024-04-14,287.75,completed,Beauty
O000330,C00047,2024-01-16,122.8,completed,Books
O000331,C00047,2024-02-07,196.56,completed,Electronics
O000332,C00047,2024-05-25,110.22,completed,Home
O000333,C00047,2024-01-04,297.18,completed,Clothing
O000334,C00048,2024-11-25,97.78,completed,Books
O000335,C00048,2024-11-28,148.95,completed,Electronics
O000336,C00048,2024-10-03,140.18,completed,Sports
O000337,C00048,2024-10-30,187.71,completed,Clothing
O000338,C00048,2024-08-23,175.42,completed,Beauty
O000339,C00048,2024-07-13,292.37,completed,Electronics
O000340,C00048,2024-10-11,197.43,returned,Home
O000341,C00048,2024-10-07,276.24,delivered,Clothing
O000342,C00048,2024-09-26,228.88,returned,Books
O000343,C00048,2024-07-19,129.78,completed,Home
O000344,C00048,2024-08-08,102.6,delivered,Sports
O000345,C00049,2024-12-23,104.15,completed,Home
O000346,C00049,2024-11-16,95.5,delivered,Sports
O000347,C00050,2024-11-19,91.81,completed,Home
O000348,C00050,2024-11-06,62.33,completed,Clothing
O000349,C00051,2024-12-23,50.19,completed,Clothing
O000350,C00051,2024-11-04,31.97,delivered,Clothing
O000351,C00052,2024-11-15,223.12,completed,Beauty
O000352,C00052,2024-10-18,136.27,delivered,Sports
O000353,C00052,2024-11-11,210.66,completed,Books
O000354,C00052,2024-10-25,223.78,completed,Electronics
O000355,C00052,2024-08-01,105.47,completed,Beauty
O000356,C00052,2024-09-17,200.4,completed,Books
O000357,C00052,2024-08-30,125.21,returned,Books
O000358,C00053,2024-11-09,112.78,returned,Sports
O000359,C00053,2024-10-26,108.51,returned,Clothing
O000360,C00054,2023-10-04,28.39,returned,Sports
O000361,C00054,2023-10-15,42.62,completed,Beauty
O000362,C00054,2023-09-17,68.72,completed,Sports
O000363,C00054,2023-09-07,48.63,completed,Home
O000364,C00055,2024-12-08,94.6,completed,Books
O000365,C00055,2024-11-15,76.37,completed,Electronics
O000366,C00055,2024-11-24,139.76,delivered,Books
O000367,C00056,2024-11-26,38.11,delivered,Electronics
O000368,C00056,2024-10-31,95.12,completed,Books
O000369,C00057,2024-11-22,23.21,completed,Electronics
O000370,C00057,2024-11-10,53.71,completed,Home
O000371,C00057,2024-10-02,31.3,completed,Electronics
O000372,C00057,2024-10-27,10.48,completed,Books
O000373,C00057,2024-08-01,18.53,completed,Beauty
O000374,C00057,2024-08-05,53.92,completed,Home
O000375,C00057,2024-07-07,19.14,completed,Beauty
O000376,C00057,2024-05-29,23.59,completed,Books
O000377,C00058,2024-10-27,42.44,completed,Electronics
O000378,C00058,2024-10-22,44.81,completed,Clothing
O000379,C00058,2024-10-07,30.8,delivered,Beauty
O000380,C00058,2024-07-30,43.92,completed,Sports
O000381,C00058,2024-08-13,48.96,delivered,Electronics
O000382,C00058,2024-08-18,34.15,completed,Electronics
O000383,C00058,2024-05-28,32.03,completed,Home
O000384,C00058,2024-03-17,25.71,returned,Books
O000385,C00058,2024-04-09,48.38,delivered,Books
O000386,C00058,2024-03-20,21.2,returned,Home
O000387,C00058,2024-03-22,36.16,returned,Sports
O000388,C00058,2024-06-28,31.64,returned,Clothing
O000389,C00059,2024-10-26,114.39,completed,Clothing
O000390,C00059,2024-10-02,138.13,delivered,Electronics
O000391,C00059,2024-10-26,110.77,completed,Sports
O000392,C00059,2024-08-18,133.71,completed,Electronics
O000393,C00059,2024-07-03,94.08,completed,Home
O000394,C00060,2024-12-11,21.14,returned,Beauty
O000395,C00060,2024-11-22,50.86,completed,Beauty
O000396,C00060,2024-10-12,50.06,completed,Electronics
O000397,C00060,2024-09-25,32.35,completed,Beauty
O000398,C00060,2024-08-14,42.67,completed,Beauty
O000399,C00060,2024-07-25,11.79,delivered,Electronics
O000400,C00060,2024-10-05,49.59,delivered,Books
O000401,C00060,2024-08-02,54.51,delivered,Clothing
O000402,C00060,2024-04-24,43.57,completed,Home
O000403,C00061,2024-09-10,132.87,completed,Sports
O000404,C00061,2024-07-20,108.17,completed,Books
O000405,C00062,2023-12-16,29.12,returned,Clothing
O000406,C00062,2023-12-20,47.31,returned,Home
O000407,C00062,2023-10-01,61.76,returned,Electronics
O000408,C00063,2024-11-24,71.07,returned,Books
O000409,C00063,2024-10-14,111.38,completed,Sports
O000410,C00063,2024-10-25,78.13,completed,Clothing
O000411,C00063,2024-09-12,173.68,completed,Books
O000412,C00064,2024-11-23,112.17,returned,Books
O000413,C00064,2024-10-31,68.48,completed,Beauty
O000414,C00064,2024-09-24,70.2,completed,Electronics
O000415,C00064,2024-09-11,160.43,delivered,Beauty
O000416,C00064,2024-07-23,137.77,delivered,Clothing
O000417,C00064,2024-09-14,159.57,completed,Electronics
O000418,C00065,2024-11-03,274.19,delivered,Beauty
O000419,C00065,2024-10-17,295.49,returned,Clothing
O000420,C00065,2024-09-28,167.53,completed,Home
O000421,C00065,2024-08-27,257.06,completed,Beauty
O000422,C00065,2024-07-28,234.0,returned,Sports
O000423,C00065,2024-07-19,265.48,delivered,Home
O000424,C00065,2024-05-05,219.17,completed,Clothing
O000425,C00065,2024-04-07,237.16,returned,Home
O000426,C00065,2024-03-15,109.19,returned,Books
O000427,C00065,2024-07-10,190.86,returned,Books
O000428,C00065,2024-05-24,236.28,completed,Sports
O000429,C00065,2024-04-04,208.22,returned,Books
O000430,C00066,2024-10-25,54.69,delivered,Home
O000431,C00066,2024-10-11,50.42,delivered,Electronics
O000432,C00066,2024-10-25,29.04,completed,Books
O000433,C00066,2024-10-11,20.0,completed,Home
O000434,C00066,2024-07-13,22.53,completed,Books
O000435,C00066,2024-07-15,20.2,delivered,Electronics
O000436,C00066,2024-06-19,50.7,completed,Sports
O000437,C00066,2024-04-18,53.24,returned,Books
O000438,C00066,2024-04-08,29.44,delivered,Books
O000439,C00066,2024-06-07,44.65,completed,Beauty
O000440,C00066,2024-05-02,30.83,returned,Home
O000441,C00067,2024-12-24,121.8,completed,Sports
O000442,C00067,2024-10-26,134.65,completed,Clothing
O000443,C00067,2024-10-18,123.06,delivered,Books
O000444,C00067,2024-09-08,61.61,returned,Clothing
O000445,C00067,2024-10-08,89.37,returned,Electronics
O000446,C00067,2024-09-18,145.87,returned,Sports
O000447,C00068,2024-11-11,114.28,delivered,Home
O000448,C00068,2024-10-25,74.14,completed,Electronics
O000449,C00068,2024-09-11,119.95,completed,Electronics
O000450,C00068,2024-09-24,189.29,delivered,Electronics
O000451,C00069,2024-09-22,176.47,completed,Beauty
O000452,C00069,2024-08-12,135.9,completed,Electronics
O000453,C00069,2024-08-12,128.81,completed,Sports
O000454,C00069,2024-09-03,167.94,completed,Beauty
O000455,C00069,2024-06-24,130.56,completed,Home
O000456,C00069,2024-06-27,182.51,returned,Home
O000457,C00069,2024-05-20,104.12,completed,Sports
O000458,C00069,2024-03-20,121.23,delivered,Books
O000459,C00069,2024-07-21,67.21,completed,Beauty
O000460,C00069,2024-05-13,185.67,delivered,Sports
O000461,C00070,2023-08-27,74.6,completed,Beauty
O000462,C00070,2023-06-29,95.6,completed,Home
O000463,C00071,2024-11-05,11.24,delivered,Home
O000464,C00071,2024-10-03,50.14,completed,Beauty
O000465,C00071,2024-10-20,24.82,returned,Clothing
O000466,C00071,2024-09-04,35.69,completed,Clothing
O000467,C00071,2024-06-29,36.9,completed,Books
O000468,C00071,2024-09-09,20.54,returned,Clothing
O000469,C00071,2024-05-30,51.78,completed,Sports
O000470,C00071,2024-05-17,42.33,completed,Books
O000471,C00071,2024-03-04,17.69,completed,Books
O000472,C00071,2024-05-24,11.89,completed,Electronics
O000473,C00071,2024-06-22,49.71,delivered,Electronics
O000474,C00071,2024-03-02,51.08,completed,Beauty
O000475,C00071,2024-01-01,32.56,completed,Beauty
O000476,C00072,2024-12-18,90.6,delivered,Electronics
O000477,C00072,2024-11-09,94.83,completed,Books
O000478,C00073,2024-12-07,106.34,completed,Sports
O000479,C00073,2024-12-13,56.09,returned,Home
O000480,C00073,2024-11-28,55.34,completed,Beauty
O000481,C00074,2024-08-26,43.39,completed,Sports
O000482,C00074,2024-08-23,55.0,completed,Sports
O000483,C00074,2024-07-21,145.61,completed,Home
O000484,C00074,2024-05-23,137.57,returned,Books
O000485,C00074,2024-06-21,145.31,completed,Sports
O000486,C00075,2024-12-09,44.6,delivered,Sports
O000487,C00075,2024-11-07,99.09,completed,Home
O000488,C00075,2024-10-27,122.31,returned,Home
O000489,C00075,2024-10-16,85.39,returned,Sports
O000490,C00075,2024-10-15,57.7,completed,Sports
O000491,C00075,2024-08-20,61.38,completed,Books
O000492,C00076,2023-09-28,94.59,delivered,Beauty
O000493,C00077,2024-11-23,143.94,completed,Home
O000494,C00077,2024-11-09,123.43,delivered,Beauty
O000495,C00077,2024-09-24,158.57,returned,Books
O000496,C00077,2024-09-26,102.01,delivered,Electronics
O000497,C00077,2024-09-22,149.91,completed,Home
O000498,C00077,2024-07-20,232.56,completed,Sports
O000499,C00077,2024-05-04,160.19,completed,Beauty
O000500,C00077,2024-08-04,81.06,completed,Clothing
O000501,C00077,2024-03-08,242.76,completed,Home
O000502,C00077,2024-05-27,109.55,returned,Home
O000503,C00077,2024-01-06,185.59,completed,Home
O000504,C00077,2024-01-22,147.2,delivered,Electronics
O000505,C00077,2024-04-30,222.02,completed,Home
O000506,C00077,2024-05-08,276.09,completed,Home
O000507,C00077,2024-05-30,240.03,completed,Sports
O000508,C00077,2023-08-10,86.86,delivered,Sports
O000509,C00078,2024-09-05,63.4,completed,Sports
O000510,C00078,2024-08-28,99.78,delivered,Beauty
O000511,C00078,2024-08-15,80.24,completed,Sports
O000512,C00078,2024-07-18,54.73,delivered,Sports
O000513,C00078,2024-08-03,83.65,delivered,Electronics
O000514,C00079,2024-11-03,194.6,delivered,Books
O000515,C00079,2024-11-10,163.58,completed,Beauty
O000516,C00079,2024-10-21,76.87,delivered,Books
O000517,C00079,2024-10-13,160.39,completed,Home
O000518,C00079,2024-10-16,82.82,completed,Clothing
O000519,C00079,2024-09-25,89.65,completed,Electronics
O000520,C00079,2024-08-10,127.68,completed,Beauty
O000521,C00079,2024-05-24,187.69,completed,Electronics
O000522,C00079,2024-03-29,98.61,returned,Sports
O000523,C00080,2024-08-23,68.96,delivered,Sports
O000524,C00080,2024-08-25,81.43,completed,Home
O000525,C00080,2024-08-17,96.83,completed,Clothing
O000526,C00080,2024-06-11,84.64,completed,Beauty
O000527,C00081,2024-08-20,40.73,completed,Beauty
O000528,C00081,2024-08-19,65.3,delivered,Books
O000529,C00081,2024-07-15,63.27,completed,Clothing
