session_id,customer_id,visit_date,page_views
S0000349,C00024,2024-09-26,20
S0000350,C00025,2023-06-05,18
S0000351,C00026,2023-10-15,6
S0000352,C00026,2024-09-30,15
S0000353,C00026,2022-08-06,3
S0000354,C00027,2022-11-29,16
S0000355,C00027,2023-10-21,1
S0000356,C00027,2024-08-11,7
S0000357,C00027,2024-05-21,3
S0000358,C00027,2023-05-05,6
S0000359,C00027,2022-03-14,10
S0000360,C00027,2022-04-27,13
S0000361,C00027,2023-05-27,6
S0000362,C00027,2022-12-16,7
S0000363,C00027,2024-03-04,6
S0000364,C00027,2024-11-03,4
S0000365,C00027,2024-07-23,19
S0000366,C00028,2022-06-12,4
S0000367,C00028,2022-06-18,7
S0000368,C00028,2022-02-23,16
S0000369,C00028,2023-04-15,14
S0000370,C00028,2024-03-04,3
S0000371,C00028,2024-04-09,15
S0000372,C00028,2022-08-13,19
S0000373,C00028,2024-06-19,19
S0000374,C00028,2024-06-02,20
S0000375,C00028,2024-06-16,17
S0000376,C00028,2022-05-18,13
S0000377,C00028,2022-12-21,13
S0000378,C00028,2024-02-17,16
S0000379,C00028,2022-07-13,9
S0000380,C00028,2022-05-12,14
S0000381,C00028,2022-12-22,14
S0000382,C00028,2024-01-15,19
S0000383,C00028,2024-10-06,2
S0000384,C00028,2022-04-22,15
S0000385,C00028,2023-03-17,6
S0000386,C00029,2022-10-10,15
S0000387,C00029,2022-05-30,5
S0000388,C00029,2022-06-24,12
S0000389,C00029,2022-09-10,20
S0000390,C00030,2022-02-08,20
S0000391,C00030,2024-04-05,5
S0000392,C00030,2024-07-28,8
S0000393,C00030,2022-08-12,14
S0000394,C00030,2024-08-30,7
S0000395,C00030,2023-06-02,19
S0000396,C00030,2022-11-03,18
S0000397,C00030,2023-06-15,5
S0000398,C00030,2024-06-02,16
S0000399,C00030,2024-11-30,14
S0000400,C00030,2022-07-08,15
S0000401,C00030,2024-10-21,9
S0000402,C00030,2022-01-20,11
S0000403,C00030,2023-09-07,18
S0000404,C00030,2023-12-15,4
S0000405,C00031,2022-02-05,14
S0000406,C00031,2022-08-05,5
S0000407,C00031,2024-02-13,17
S0000408,C00031,2024-09-02,8
S0000409,C00031,2024-08-20,1
S0000410,C00032,2023-07-08,9
S0000411,C00032,2024-10-25,15
S0000412,C00032,2024-09-18,4
S0000413,C00032,2024-01-22,17
S0000414,C00033,2022-09-15,16
S0000415,C00033,2022-07-20,5
S0000416,C00033,2024-01-03,20
S0000417,C00033,2024-11-02,8
S0000418,C00033,2023-03-17,19
S0000419,C00033,2022-06-07,19
S0000420,C00033,2024-10-03,19
S0000421,C00033,2023-03-15,14
S0000422,C00033,2024-10-24,14
S0000423,C00033,2023-06-29,6
S0000424,C00033,2022-08-29,11
S0000425,C00033,2022-05-19,3
S0000426,C00033,2022-10-01,13
S0000427,C00033,2022-05-17,1
S0000428,C00033,2022-05-16,5
S0000429,C00033,2024-12-16,5
S0000430,C00033,2024-09-08,16
S0000431,C00033,2023-10-08,13
S0000432,C00033,2023-12-21,7
S0000433,C00033,2023-03-12,16
S0000434,C00033,2024-05-26,15
S0000435,C00034,2022-11-18,14
S0000436,C00034,2023-09-21,6
S0000437,C00034,2024-06-11,14
S0000438,C00034,2024-07-10,15
S0000439,C00034,2023-03-10,1
S0000440,C00034,2022-06-28,9
S0000441,C00034,2022-09-30,7
S0000442,C00034,2023-11-28,5
S0000443,C00035,2023-07-03,8
S0000444,C00035,2023-08-02,2
S0000445,C00035,2024-07-26,3
S0000446,C00035,2024-04-11,5
S0000447,C00035,2024-09-20,13
S0000448,C00035,2024-06-11,9
S0000449,C00035,2024-09-11,17
S0000450,C00035,2023-09-22,17
S0000451,C00035,2024-06-08,1
S0000452,C00035,2023-10-08,13
S0000453,C00035,2023-05-29,4
S0000454,C00035,2023-04-15,3
S0000455,C00035,2022-02-17,13
S0000456,C00035,2024-04-02,13
S0000457,C00035,2022-04-01,5
S0000458,C00035,2024-10-12,5
S0000459,C00036,2023-09-14,11
S0000460,C00036,2022-08-29,7
S0000461,C00036,2023-12-28,14
S0000462,C00036,2022-01-14,20
S0000463,C00036,2022-04-17,3
S0000464,C00036,2023-06-18,17
S0000465,C00036,2022-01-30,13
S0000466,C00036,2022-05-27,2
S0000467,C00036,2024-05-28,11
S0000468,C00036,2024-01-17,1
S0000469,C00036,2023-02-22,13
S0000470,C00036,2023-03-22,5
S0000471,C00036,2024-05-30,6
S0000472,C00036,2023-04-10,16
S0000473,C00036,2023-10-23,1
S0000474,C00036,2023-11-18,10
S0000475,C00036,2023-03-06,5
S0000476,C00036,2023-01-14,14
S0000477,C00036,2022-01-21,6
S0000478,C00036,2024-09-13,18
S0000479,C00037,2024-03-07,6
S0000480,C00037,2023-08-04,2
S0000481,C00037,2024-02-09,17
S0000482,C00037,2023-02-24,15
S0000483,C00037,2023-11-19,20
S0000484,C00037,2023-06-15,12
S0000485,C00037,2024-12-11,16
S0000486,C00037,2022-04-22,5
S0000487,C00037,2023-03-14,1
S0000488,C00038,2022-05-14,2
S0000489,C00038,2023-11-04,13
S0000490,C00038,2023-09-19,2
S0000491,C00038,2022-02-15,14
S0000492,C00038,2024-07-10,10
S0000493,C00038,2022-08-06,12
S0000494,C00038,2024-12-10,13
S0000495,C00038,2024-10-11,20
S0000496,C00038,2023-10-14,5
S0000497,C00038,2023-08-11,1
S0000498,C00038,2024-10-11,9
S0000499,C00038,2022-07-23,11
S0000500,C00038,2024-01-28,1
S0000501,C00038,2024-07-18,11
S0000502,C00038,2024-10-04,14
S0000503,C00038,2023-06-14,10
S0000504,C00039,2024-02-10,8
S0000505,C00039,2023-01-10,4
S0000506,C00039,2023-09-15,18
S0000507,C00039,2022-09-03,19
S0000508,C00039,2024-03-18,10
S0000509,C00039,2022-12-07,9
S0000510,C00039,2022-05-07,10
S0000511,C00039,2023-02-05,13
S0000512,C00039,2024-01-20,10
S0000513,C00039,2023-10-25,3
S0000514,C00039,2022-06-02,14
S0000515,C00039,2022-04-14,2
S0000516,C00039,2022-12-29,5
S0000517,C00039,2022-11-07,14
S0000518,C00039,2023-11-09,14
S0000519,C00039,2024-10-06,20
S0000520,C00039,2022-11-18,14
S0000521,C00039,2024-02-08,5
S0000522,C00039,2023-09-12,8
S0000523,C00040,2022-07-19,15
S0000524,C00040,2022-05-14,10
S0000525,C00040,2024-12-06,2
S0000526,C00040,2024-03-08,12
S0000527,C00040,2024-02-22,4
S0000528,C00040,2023-09-04,14
S0000529,C00040,2022-11-08,4
S0000530,C00040,2022-06-07,19
S0000531,C00040,2023-04-01,13
S0000532,C00041,2024-08-08,12
S0000533,C00041,2024-09-07,9
S0000534,C00041,2022-07-04,6
S0000535,C00041,2022-12-22,17
S0000536,C00041,2024-08-27,14
S0000537,C00041,2024-09-21,1
S0000538,C00041,2023-05-29,9
S0000539,C00041,2023-09-24,16
S0000540,C00041,2022-05-26,18
S0000541,C00041,2024-03-03,19
S0000542,C00041,2023-08-31,3
S0000543,C00041,2023-04-11,20
S0000544,C00041,2022-04-17,9
S0000545,C00041,2022-03-17,18
S0000546,C00041,2022-04-18,17
S0000547,C00041,2024-04-15,5
S0000548,C00041,2024-12-02,8
S0000549,C00041,2023-10-13,11
S0000550,C00042,2024-09-13,4
S0000551,C00042,2023-07-31,6
S0000552,C00042,2024-08-14,2
S0000553,C00042,2023-03-23,3
S0000554,C00042,2022-06-20,6
S0000555,C00042,2022-05-11,5
S0000556,C00042,2023-11-19,19
S0000557,C00042,2023-11-18,8
S0000558,C00042,2023-11-18,7
S0000559,C00042,2022-10-03,10
S0000560,C00042,2022-09-02,6
S0000561,C00042,2024-05-18,14
S0000562,C00042,2024-04-05,6
S0000563,C00042,2022-04-03,14
S0000564,C00042,2023-10-31,13
S0000565,C00042,2024-04-24,2
S0000566,C00042,2022-01-08,5
S0000567,C00042,2024-11-20,18
S0000568,C00042,2023-11-10,10
S0000569,C00042,2022-05-21,3
S0000570,C00042,2022-06-07,4
S0000571,C00043,2022-09-27,1
S0000572,C00043,2022-07-04,12
S0000573,C00043,2022-03-11,5
S0000574,C00043,2024-02-09,3
S0000575,C00043,2023-11-18,12
S0000576,C00043,2023-06-05,5
S0000577,C00043,2024-08-07,15
S0000578,C00043,2022-07-06,9
S0000579,C00043,2022-05-13,2
S0000580,C00043,2023-10-01,12
S0000581,C00043,2022-10-07,17
S0000582,C00043,2024-08-24,14
S0000583,C00043,2023-08-18,14
S0000584,C00043,2024-11-04,17
S0000585,C00043,2022-02-13,20
S0000586,C00043,2022-02-21,9
S0000587,C00043,2023-10-19,5
S0000588,C00043,2024-02-19,1
S0000589,C00043,2023-11-18,4
S0000590,C00043,2024-10-24,12
S0000591,C00043,2023-08-24,13
S0000592,C00044,2022-07-12,7
S0000593,C00044,2024-09-22,5
S0000594,C00044,2022-08-08,4
S0000595,C00044,2022-09-19,6
S0000596,C00044,2023-03-04,3
S0000597,C00044,2023-09-13,9
S0000598,C00044,2024-12-28,13
S0000599,C00044,2023-04-14,14
S0000600,C00044,2024-05-16,17
S0000601,C00045,2022-12-25,20
S0000602,C00045,2023-10-13,12
S0000603,C00046,2023-12-05,19
S0000604,C00046,2024-07-04,11
S0000605,C00046,2023-01-13,14
S0000606,C00046,2023-12-11,16
S0000607,C00046,2022-03-19,2
S0000608,C00046,2023-12-11,14
S0000609,C00046,2022-10-13,17
S0000610,C00046,2023-08-17,10
S0000611,C00046,2023-01-30,5
S0000612,C00047,2022-03-08,18
S0000613,C00047,2022-06-30,3
S0000614,C00047,2024-05-22,2
S0000615,C00047,2024-04-21,6
S0000616,C00047,2023-05-20,19
S0000617,C00047,2023-10-31,14
S0000618,C00047,2022-07-07,7
S0000619,C00047,2024-02-22,3
S0000620,C00047,2023-10-27,4
S0000621,C00047,2022-01-18,1
S0000622,C00047,2023-02-21,16
S0000623,C00047,2023-06-13,19
S0000624,C00047,2022-10-31,4
S0000625,C00047,2022-11-04,1
S0000626,C00047,2024-05-08,20
S0000627,C00047,2024-11-15,13
S0000628,C00047,2022-03-16,2
S0000629,C00047,2024-10-13,15
S0000630,C00047,2023-11-03,15
S0000631,C00047,2022-07-10,12
S0000632,C00048,2023-11-08,13
S0000633,C00048,2022-10-11,7
S0000634,C00048,2023-08-05,16
S0000635,C00048,2024-05-02,10
S0000636,C00048,2024-04-16,20
S0000637,C00048,2022-05-09,10
S0000638,C00048,2023-11-22,15
S0000639,C00048,2024-11-10,12
S0000640,C00048,2022-01-15,19
S0000641,C00048,2023-11-20,4
S0000642,C00048,2022-03-01,19
S0000643,C00048,2023-10-03,20
S0000644,C00049,2022-05-06,12
S0000645,C00049,2024-02-10,1
S0000646,C00049,2023-03-17,5
S0000647,C00049,2024-03-09,13
S0000648,C00049,2022-10-02,11
S0000649,C00049,2022-07-19,2
S0000650,C00049,2023-04-22,4
S0000651,C00049,2024-01-16,8
S0000652,C00049,2022-02-21,17
S0000653,C00049,2024-08-16,2
S0000654,C00049,2023-05-05,8
S0000655,C00049,2022-01-02,6
S0000656,C00049,2023-07-20,14
S0000657,C00049,2024-09-18,16
S0000658,C00049,2024-05-07,20
S0000659,C00049,2024-05-10,18
S0000660,C00049,2024-07-01,1
S0000661,C00049,2024-05-20,10
S0000662,C00049,2022-07-03,2
S0000663,C00049,2024-11-06,2
S0000664,C00050,2022-05-16,1
S0000665,C00050,2024-08-20,5
S0000666,C00050,2024-06-07,16
S0000667,C00050,2022-12-17,6
S0000668,C00050,2023-08-05,17
S0000669,C00050,2023-11-25,12
S0000670,C00050,2022-08-25,11
S0000671,C00050,2024-07-06,2
S0000672,C00050,2023-02-20,9
S0000673,C00050,2023-02-20,10
S0000674,C00050,2022-07-09,15
S0000675,C00050,2022-06-07,2
S0000676,C00050,2022-04-19,8
S0000677,C00050,2023-12-03,16
S0000678,C00050,2022-03-25,11
S0000679,C00050,2024-12-29,8
S0000680,C00050,2023-03-26,10
S0000681,C00050,2023-07-30,8
S0000682,C00050,2024-09-25,10
S0000683,C00050,2024-10-01,12
S0000684,C00051,2024-05-29,7
S0000685,C00051,2024-04-03,18
S0000686,C00052,2023-03-04,19
S0000687,C00052,2023-01-12,17
S0000688,C00052,2024-03-28,7
S0000689,C00052,2024-02-09,19
S0000690,C00052,2023-04-22,9
S0000691,C00052,2022-06-13,3
S0000692,C00052,2024-01-16,5
S0000693,C00052,2023-12-31,14
S0000694,C00052,2023-07-05,4
S0000695,C00052,2024-03-28,12
S0000696,C00052,2022-04-11,14
S0000697,C00053,2023-03-10,8
S0000698,C00053,2022-02-22,12
S0000699,C00053,2023-08-28,2
S0000700,C00053,2024-04-07,19
S0000701,C00053,2024-05-21,12
S0000702,C00053,2022-07-24,9
S0000703,C00053,2024-11-13,5
S0000704,C00053,2024-02-28,18
S0000705,C00053,2022-12-28,15
S0000706,C00053,2022-10-17,11
S0000707,C00054,2023-05-20,20
S0000708,C00054,2023-05-23,2
S0000709,C00054,2022-05-08,19
S0000710,C00054,2022-10-30,5
S0000711,C00054,2023-07-25,3
S0000712,C00054,2022-07-07,16
S0000713,C00054,2024-08-28,4
S0000714,C00054,2024-01-23,12
S0000715,C00054,2023-01-29,14
S0000716,C00054,2024-10-01,8
S0000717,C00054,2022-08-19,16
S0000718,C00054,2023-08-19,6
S0000719,C00054,2022-05-16,4
S0000720,C00054,2023-12-02,5
S0000721,C00055,2022-11-22,14
S0000722,C00055,2023-05-02,14
S0000723,C00055,2022-01-15,19
S0000724,C00055,2024-10-11,2
S0000725,C00056,2023-01-25,20
S0000726,C00056,2024-01-30,12
S0000727,C00056,2022-07-25,8
S0000728,C00056,2022-07-11,1
S0000729,C00056,2023-05-08,19
S0000730,C00056,2024-05-27,18
S0000731,C00056,2024-12-01,14
S0000732,C00056,2023-02-03,11
S0000733,C00056,2023-08-28,4
S0000734,C00056,2022-10-16,8
S0000735,C00056,2022-01-20,16
S0000736,C00056,2023-12-30,13
S0000737,C00056,2024-07-09,10
S0000738,C00056,2023-10-03,8
S0000739,C00056,2024-08-11,16
S0000740,C00056,2022-03-15,20
S0000741,C00057,2023-06-04,5
S0000742,C00057,2022-10-07,12
S0000743,C00057,2024-04-27,7
S0000744,C00057,2024-11-06,12
S0000745,C00057,2022-05-20,14
S0000746,C00057,2022-02-28,7
S0000747,C00057,2022-08-13,5
S0000748,C00057,2022-05-11,20
S0000749,C00057,2022-06-16,10
S0000750,C00057,2023-06-27,5
S0000751,C00057,2023-01-28,18
S0000752,C00057,2022-06-11,10
S0000753,C00057,2023-11-10,9
S0000754,C00058,2023-05-17,5
S0000755,C00058,2024-09-03,9
S0000756,C00059,2023-12-03,9
S0000757,C00059,2024-06-06,9
S0000758,C00059,2023-01-10,5
S0000759,C00059,2024-01-16,12
S0000760,C00060,2022-10-13,5
S0000761,C00060,2024-10-19,3
S0000762,C00060,2023-01-11,1
S0000763,C00060,2024-08-21,10
S0000764,C00060,2023-07-17,3
S0000765,C00060,2022-08-05,10
S0000766,C00060,2024-11-26,13
S0000767,C00060,2022-12-02,20
S0000768,C00060,2024-09-24,17
S0000769,C00060,2023-01-23,5
S0000770,C00060,2024-10-29,10
S0000771,C00060,2023-10-24,7
S0000772,C00060,2024-12-02,4
S0000773,C00060,2022-12-05,19
S0000774,C00060,2022-09-13,14
S0000775,C00060,2024-06-07,2
